#YY  MM DD  WSPD WVHT ATMP  WTMP
#yr  mo dy  m/s     m degC  degC
2020 06 01  2.0  0.21 12.5  12.6
2020 06 01  2.0  0.20 12.4  12.5
2020 06 01  1.9  0.18 12.5  12.5
2020 06 01  1.6  0.19 12.4  12.4
2020 06 01  1.4  0.19 12.4  12.4
2020 06 01  1.3  0.18 12.3  12.3
2020 06 01  1.0  0.19 12.3  12.2
2020 06 01  1.1  0.18 12.2  12.3
2020 06 01  1.2  0.19 11.4  12.3
2020 06 01  1.4  0.19 11.3  12.2
2020 06 01  1.4  0.17 11.3  12.0
2020 06 01  1.6  0.18 11.1  11.7
2020 06 01  1.8  0.15 11.1  11.6
2020 06 01  1.7  0.16 11.0  11.4
2020 06 01  1.6  0.15 11.1  11.3
2020 06 01  1.7  0.15 11.1  11.4
2020 06 01  1.8  0.14 11.1  11.3
2020 06 01  1.7  0.15 11.1  11.2
2020 06 01  1.8  0.14 10.9  11.1
2020 06 01  2.1  0.13 10.7  10.9
2020 06 01  2.2  0.14 10.7  10.8
2020 06 01  2.3  0.13 10.7  10.8
2020 06 01  2.4  0.12 10.7  10.7
2020 06 01  2.4  0.12 10.7  10.7
2020 06 01  2.4  0.12 10.8  10.6
2020 06 01  2.4  0.12 10.6  10.5
2020 06 01  2.5  0.11 10.6  10.4
2020 06 01  2.6  0.11 10.6  10.3
2020 06 01  2.5  0.11 10.6  10.2
2020 06 01  2.6  0.11 10.6  10.2
2020 06 01  2.6  0.12 10.5  10.1
2020 06 01  2.6  0.11 10.5  10.1
2020 06 01  2.3  0.13 10.6  10.0
2020 06 01  2.4  0.12 10.7  10.0
2020 06 01  2.1  0.13 10.8   9.9
2020 06 01  2.0  0.14 10.7   9.9
2020 06 01  2.1  0.13 10.4   9.9
2020 06 01  2.0  0.14 10.1   9.9
2020 06 01  2.0  0.15 10.0   9.9
2020 06 01  2.0  0.14 10.0   9.9
2020 06 01  2.2  0.14 10.1   9.8
2020 06 01  2.5  0.16 10.2   9.8
2020 06 01  2.4  0.15 10.1   9.8
2020 06 01  2.6  0.16 10.2   9.8
2020 06 01  2.3  0.16 10.1   9.8
2020 06 01  2.8  0.16 10.2   9.8
2020 06 01  2.8  0.15 10.4   9.8
2020 06 01  2.6  0.18 10.4   9.8
2020 06 01  2.8  0.16 10.5   9.8
2020 06 01  2.8  0.17 10.5   9.8
2020 06 01  2.9  0.17 10.5   9.9
2020 06 01  2.6  0.16 10.4   9.9
2020 06 01  2.8  0.18 10.3   9.9
2020 06 01  3.0  0.19 10.5   9.9
2020 06 01  2.9  0.21 10.4   9.9
2020 06 01  3.2  0.21 10.4  10.0
2020 06 01  3.1  0.22 10.4  10.0
2020 06 01  3.3  0.23 10.3  10.0
2020 06 01  3.6  0.22 10.4  10.0
2020 06 01  3.6  0.25 10.6  10.0
2020 06 01  3.7  0.27  9.9  10.0
2020 06 01  3.7  0.27 10.7  10.1
2020 06 01  3.7  0.28 10.7  10.1
2020 06 01  3.5  0.28 10.9  10.1
2020 06 01  3.3  0.28 11.0  10.1
2020 06 01  3.2  0.28 11.0  10.2
2020 06 01  3.1  0.26 10.9  10.2
2020 06 01  3.0  0.26 11.1  10.2
2020 06 01  3.0  0.25 11.0  10.2
2020 06 01  2.7  0.26 10.8  10.3
2020 06 01  3.4  0.28 10.9  10.3
2020 06 01  3.4  0.28 10.9  10.4
2020 06 01  3.6  0.29 11.0  10.4
2020 06 01  3.5  0.30 11.0  10.5
2020 06 01  3.2  0.31 11.0  10.5
2020 06 01  3.4  0.33 11.1  10.6
2020 06 01  3.3  0.33 11.0  10.7
2020 06 01  3.1  0.34 11.1  10.8
2020 06 01  3.9  0.34 11.3  10.9
2020 06 01  3.7  0.35 11.6  10.9
2020 06 01  3.6  0.34 11.8  11.1
2020 06 01  3.5  0.35 11.8  11.2
2020 06 01  3.6  0.34 11.6  11.4
2020 06 01  4.1  0.34 11.5  11.6
2020 06 01  4.3  0.37 11.7  11.6
2020 06 01  4.0  0.35 11.9  11.7
2020 06 01  4.1  0.37 12.1  11.8
2020 06 01  5.0  0.40 12.8  11.9
2020 06 01  4.7  0.40 13.4  12.0
2020 06 01  3.7  0.42 13.0  12.1
2020 06 01  4.4  0.41 13.5  12.1
2020 06 01  4.3  0.41 13.7  12.3
2020 06 01  4.1  0.41 14.0  12.5
2020 06 01  3.4  0.38 13.6  12.7
2020 06 01  2.8  0.36 13.5  12.8
2020 06 01  2.8  0.35 12.7  12.8
2020 06 01  3.1  0.38 13.1  13.0
2020 06 01  3.3  0.42 13.8  13.0
2020 06 01  4.2  0.38 14.1  13.1
2020 06 01  4.3  0.39 14.3  13.0
2020 06 01  4.1  0.41 14.3  13.0
2020 06 01  3.6  0.38 14.2  13.1
2020 06 01  4.1  0.37 14.5  13.1
2020 06 01  4.1  0.37 14.7  13.1
2020 06 01  3.5  0.36 14.5  13.1
2020 06 01  4.7  0.37 15.1  13.2
2020 06 01  5.0  0.39 15.4  13.3
2020 06 01  4.7  0.40 15.4  13.3
2020 06 01  4.7  0.38 15.5  13.3
2020 06 01  4.7  0.42 15.4  13.3
2020 06 01  4.6  0.42 15.3  13.3
2020 06 01  4.5  0.45 14.9  13.3
2020 06 01  4.6  0.43 15.0  13.3
2020 06 01  4.5  0.42 15.0  13.3
2020 06 01  3.5  0.45 14.6  13.4
2020 06 01  4.3  0.46 14.9  13.4
2020 06 01  3.9  0.48 14.9  13.3
2020 06 01  4.4  0.45 15.1  13.3
2020 06 01  4.8  0.43 15.5  13.2
2020 06 01  5.3  0.42 15.7  13.2
2020 06 01  5.1  0.42 15.7  13.2
2020 06 01  4.5  0.43 15.5  13.2
